City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
tugulym,57.0591,64.6425,66.27,90.0,41.0,2.06,RU
kodiak,57.79,-152.4072,58.51,82.0,1.0,4.61,US
tuktoyaktuk,69.4541,-133.0374,60.8,77.0,75.0,8.05,CA
avarua,-21.2078,-159.775,75.25,83.0,20.0,6.91,CK
puerto leguizamo,-0.1934,-74.7819,75.43,88.0,98.0,2.68,CO
port alfred,-33.5906,26.891,62.82,77.0,0.0,10.07,ZA
ushuaia,-54.8,-68.3,44.26,70.0,20.0,1.14,AR
nkhata bay,-11.6066,34.2907,67.15,71.0,8.0,3.56,MW
albany,42.6001,-73.9662,79.81,83.0,96.0,5.46,US
jacmel,18.2342,-72.5347,87.78,62.0,92.0,8.68,HT
port hardy,50.6996,-127.4199,57.38,82.0,75.0,3.44,CA
barentsburg,,,,,,,
gizo,-8.103,156.8419,81.05,79.0,77.0,9.04,SB
kaitangata,-46.2817,169.8464,38.89,92.0,45.0,5.08,NZ
vardo,70.3705,31.1107,49.75,87.0,75.0,5.75,NO
kapaa,22.0752,-159.319,77.32,84.0,75.0,5.01,US
taolanaro,,,,,,,
tumannyy,,,,,,,
cape town,-33.9258,18.4232,55.11,89.0,90.0,3.0,ZA
butaritari,3.0707,172.7902,82.8,71.0,100.0,7.16,KI
yellowknife,62.456,-114.3525,68.29,63.0,75.0,4.61,CA
kieta,-6.2167,155.6333,76.6,92.0,100.0,3.49,PG
puerto ayora,-0.7393,-90.3518,76.96,94.0,96.0,7.0,EC
punta arenas,-53.15,-70.9167,44.71,70.0,40.0,17.27,CL
qaanaaq,77.484,-69.3632,37.85,86.0,44.0,3.11,GL
lolua,,,,,,,
dunedin,-45.8742,170.5036,41.81,89.0,11.0,4.97,NZ
samarai,-10.6167,150.6667,78.69,80.0,98.0,15.79,PG
fare,-16.7,-151.0167,78.85,75.0,100.0,24.9,PF
attawapiskat,,,,,,,
mount gambier,-37.8333,140.7667,50.5,92.0,74.0,12.86,AU
vaini,-21.2,-175.2,68.16,100.0,20.0,2.3,TO
ilulissat,69.2167,-51.1,46.0,82.0,100.0,5.12,GL
jamestown,42.097,-79.2353,80.29,63.0,40.0,3.0,US
omaruru,-21.4333,15.9333,66.13,23.0,34.0,8.03,NA
atuona,-9.8,-139.0333,77.74,68.0,24.0,25.84,PF
upernavik,72.7868,-56.1549,39.88,85.0,100.0,8.05,GL
ancud,-41.8697,-73.8203,51.33,95.0,100.0,7.27,CL
palu,-0.8917,119.8707,75.61,96.0,49.0,3.06,ID
borogontsy,62.6683,131.1683,66.49,71.0,78.0,3.51,RU
coruripe,-10.1256,-36.1756,78.8,75.0,33.0,10.36,BR
bluff,-46.6,168.3333,38.8,88.0,61.0,10.96,NZ
tasiilaq,65.6145,-37.6368,39.34,90.0,100.0,9.57,GL
rikitea,-23.1203,-134.9692,69.85,66.0,98.0,25.17,PF
manokwari,-0.8667,134.0833,78.96,81.0,100.0,6.6,ID
tsihombe,,,,,,,
talaya,61.3833,152.75,39.9,87.0,76.0,2.1,RU
gejiu,23.306,103.1635,57.15,97.0,100.0,1.25,CN
mar del plata,-38.0023,-57.5575,52.88,64.0,0.0,4.0,AR
hermanus,-34.4187,19.2345,52.9,83.0,99.0,10.25,ZA
kifri,34.6959,44.9661,106.86,9.0,0.0,13.22,IQ
carnarvon,-24.8667,113.6333,55.47,61.0,4.0,5.75,AU
amderma,,,,,,,
ribeira grande,38.5167,-28.7,75.6,78.0,40.0,13.8,PT
arraial do cabo,-22.9661,-42.0278,69.66,60.0,75.0,11.5,BR
mataura,-46.1927,168.8643,38.48,97.0,56.0,2.73,NZ
chuy,-33.6971,-53.4616,52.48,72.0,99.0,13.24,UY
shaki,41.0833,47.1667,90.39,35.0,2.0,7.43,AZ
saint-philippe,-21.3585,55.7679,71.19,81.0,47.0,17.56,RE
barrow,71.2906,-156.7887,39.22,93.0,90.0,8.05,US
ngukurr,,,,,,,
victoria,22.2855,114.1577,81.32,92.0,100.0,1.01,HK
shingu,33.7333,135.9833,76.91,94.0,26.0,3.76,JP
kloulklubed,7.0419,134.2556,81.21,79.0,93.0,4.97,PW
belmonte,-15.8631,-38.8828,81.1,68.0,33.0,8.28,BR
wanaka,-44.7,169.15,33.96,92.0,28.0,2.98,NZ
yanan,,,,,,,
umzimvubu,,,,,,,
redlands,34.0556,-117.1825,98.44,31.0,0.0,1.99,US
mezen,65.8522,44.24,54.7,70.0,88.0,7.38,RU
bluefields,12.0137,-83.7635,84.27,89.0,40.0,4.61,NI
hamilton,39.1834,-84.5333,84.99,58.0,1.0,1.99,US
sena madureira,-9.0656,-68.6569,84.45,34.0,6.0,6.13,BR
nakhon si thammarat,8.25,100.0,78.6,82.0,97.0,6.67,TH
longlac,,,,,,,
severo-kurilsk,50.6789,156.125,49.93,96.0,96.0,8.79,RU
itamaraca,-7.7478,-34.8256,81.28,74.0,34.0,11.95,BR
henties bay,-22.116,14.2845,59.86,65.0,1.0,4.94,NA
srednekolymsk,67.45,153.6833,53.87,52.0,100.0,8.19,RU
itoman,26.1247,127.6694,80.62,89.0,75.0,6.91,JP
husavik,66.0449,-17.3389,53.51,85.0,78.0,7.45,IS
byron bay,-28.65,153.6167,49.87,69.0,0.0,11.1,AU
norman wells,65.282,-126.8329,68.04,73.0,40.0,8.05,CA
pochutla,15.7432,-96.4661,91.81,54.0,19.0,6.29,MX
palafrugell,41.9174,3.1631,95.54,59.0,0.0,1.99,ES
porosozero,62.7191,32.727,64.87,48.0,46.0,3.27,RU
aksarka,66.5606,67.7975,61.79,67.0,74.0,6.96,RU
gohand,25.7,79.55,88.43,63.0,100.0,7.72,IN
sambava,-14.2667,50.1667,72.21,84.0,95.0,8.97,MG
busselton,-33.65,115.3333,52.09,83.0,92.0,11.34,AU
bargal,,,,,,,
tambacounda,13.7539,-13.7586,95.54,43.0,83.0,5.82,SN
sao jose da coroa grande,-8.8978,-35.1478,79.14,75.0,51.0,11.34,BR
vostok,46.4856,135.8833,67.68,82.0,57.0,3.04,RU
broken hill,-31.95,141.4333,46.96,60.0,21.0,12.1,AU
kassala,15.451,36.4,87.31,52.0,99.0,6.26,SD
san vicente,-26.6167,-54.1333,55.83,37.0,14.0,3.36,AR
castro,-24.7911,-50.0119,52.86,44.0,1.0,7.78,BR
rocky mountain house,52.3668,-114.9188,63.82,78.0,95.0,5.95,CA
khatanga,71.9667,102.5,57.76,62.0,97.0,1.25,RU
imbituba,-28.24,-48.6703,62.02,46.0,0.0,14.32,BR
barawe,,,,,,,
mahebourg,-20.4081,57.7,70.25,77.0,44.0,21.94,MU
karkaralinsk,,,,,,,
tatarskaya kargala,51.9495,55.1731,78.82,41.0,50.0,7.72,RU
kadykchan,,,,,,,
dujuma,,,,,,,
thompson,55.7435,-97.8558,72.3,32.0,64.0,0.11,CA
rio grande,-32.035,-52.0986,55.51,69.0,88.0,21.21,BR
agadez,19.75,10.25,104.05,10.0,100.0,7.02,NE
kaniama,-7.5667,24.1833,75.72,28.0,14.0,2.86,CD
sao joao da barra,-21.6403,-41.0511,69.87,71.0,100.0,11.72,BR
noumea,-22.2763,166.4572,62.58,77.0,77.0,6.71,NC
kawalu,-7.3817,108.2082,72.16,98.0,65.0,1.21,ID
narsaq,60.9167,-46.05,52.02,98.0,100.0,3.13,GL
lorengau,-2.0226,147.2712,80.46,80.0,89.0,4.38,PG
guerrero negro,27.9769,-114.0611,78.71,60.0,5.0,11.61,MX
hilo,19.7297,-155.09,72.81,94.0,90.0,5.75,US
hithadhoo,-0.6,73.0833,82.94,68.0,99.0,4.56,MV
ponta do sol,32.6667,-17.1,79.0,78.0,2.0,4.56,PT
kamenskoye,,,,,,,
yerbogachen,61.2767,108.0108,62.56,57.0,88.0,2.91,RU
pathalgaon,22.5667,83.4667,83.21,65.0,100.0,2.93,IN
lata,40.1629,-8.3327,81.05,55.0,0.0,10.2,PT
thinadhoo,0.5333,72.9333,83.16,71.0,100.0,7.02,MV
sur,22.5667,59.5289,90.45,59.0,50.0,14.09,OM
waiuku,-37.25,174.75,52.66,93.0,30.0,5.28,NZ
dikson,73.5069,80.5464,38.55,78.0,1.0,7.83,RU
saskylakh,71.9167,114.0833,49.35,95.0,99.0,10.85,RU
coihaique,-45.5752,-72.0662,43.34,98.0,100.0,5.48,CL
cayenne,4.9333,-52.3333,82.44,84.0,75.0,1.01,GF
cabo san lucas,22.8909,-109.9124,95.61,66.0,70.0,7.94,MX
weligama,5.9667,80.4167,80.26,84.0,98.0,13.51,LK
mys shmidta,,,,,,,
bonavista,48.6499,-53.1147,67.12,71.0,91.0,13.49,CA
sisimiut,66.9395,-53.6735,43.18,85.0,100.0,19.44,GL
lensk,60.7253,114.9278,59.38,86.0,100.0,2.28,RU
lebu,-37.6167,-73.65,55.62,70.0,56.0,14.29,CL
talnakh,69.4865,88.3972,49.91,77.0,40.0,5.79,RU
belushya guba,,,,,,,
buluang,13.3068,123.3425,79.0,90.0,100.0,10.29,PH
vaitupu,,,,,,,
bredasdorp,-34.5322,20.0403,52.29,81.0,99.0,11.16,ZA
pangnirtung,66.1451,-65.7125,42.71,95.0,100.0,3.2,CA
khislavichi,54.1871,32.1582,71.31,80.0,98.0,4.81,RU
saint-pierre,-21.3393,55.4781,71.28,80.0,75.0,23.02,RE
kazachinskoye,57.6953,93.2761,56.05,92.0,13.0,0.29,RU
bo phloi,14.3236,99.5161,80.31,81.0,100.0,11.65,TH
longyearbyen,78.2186,15.6401,44.44,70.0,75.0,8.05,SJ
canmore,51.0834,-115.3521,65.25,25.0,0.0,2.19,CA
appingedam,53.3217,6.8583,68.22,71.0,6.0,4.0,NL
kahului,20.8947,-156.47,76.84,91.0,35.0,15.01,US
illoqqortoormiut,,,,,,,
salalah,17.0151,54.0924,78.24,90.0,67.0,5.32,OM
grand river south east,,,,,,,
coahuayana,18.7333,-103.6833,89.76,55.0,44.0,2.17,MX
cabedelo,-6.9811,-34.8339,79.88,76.0,25.0,15.05,BR
chokurdakh,70.6333,147.9167,54.7,51.0,100.0,9.86,RU
nanortalik,60.1432,-45.2371,43.81,99.0,100.0,5.64,GL
tuatapere,-46.1333,167.6833,38.82,92.0,28.0,5.1,NZ
tecolutla,20.4833,-97.0167,84.09,67.0,8.0,6.04,MX
petropavlovsk-kamchatskiy,53.0452,158.6483,51.37,97.0,100.0,0.85,RU
karakol,42.4907,78.3936,59.05,51.0,18.0,4.83,KG
tubuala,9.5167,-79.0333,79.0,75.0,94.0,6.49,PA
qasigiannguit,68.8193,-51.1922,48.45,82.0,100.0,3.89,GL
fortuna,40.5982,-124.1573,56.66,65.0,68.0,6.44,US
pevek,69.7008,170.3133,38.08,90.0,97.0,5.55,RU
skagastrond,,,,,,,
mizdah,31.4451,12.9801,89.26,20.0,0.0,12.97,LY
shenjiamen,29.9576,122.298,79.3,92.0,13.0,9.44,CN
mandan,46.8267,-100.8896,93.18,51.0,1.0,10.36,US
svetlaya,46.5389,138.3297,67.1,86.0,84.0,2.04,RU
mitsamiouli,-11.3847,43.2844,78.03,74.0,44.0,13.85,KM
mastic beach,40.7668,-72.8521,77.4,78.0,100.0,1.01,US
avera,33.194,-82.5271,83.93,65.0,100.0,6.73,US
lompoc,34.6391,-120.4579,86.22,54.0,0.0,4.07,US
sentyabrskiy,,,,,,,
waingapu,-9.6567,120.2641,73.58,85.0,43.0,5.26,ID
tete,-16.1564,33.5867,75.29,38.0,75.0,6.91,MZ
seymchan,62.8833,152.4333,45.77,69.0,73.0,4.92,RU
alofi,-19.0595,-169.9187,77.02,76.0,6.0,16.91,NU
sompeta,18.9333,84.6,83.41,85.0,100.0,12.68,IN
naze,28.3667,129.4833,77.85,89.0,100.0,24.85,JP
grand gaube,-20.0064,57.6608,70.38,78.0,29.0,5.99,MU
finschhafen,-6.6024,147.8681,77.83,84.0,99.0,7.14,PG
myitkyina,25.3833,97.4,78.19,96.0,59.0,1.14,MM
ahipara,-35.1667,173.1667,53.87,76.0,23.0,9.31,NZ
wum,6.3833,10.0667,69.53,93.0,52.0,1.9,CM
airai,-8.9266,125.4092,55.69,82.0,35.0,3.36,TL
nishihara,26.1842,127.7558,79.88,89.0,75.0,6.91,JP
ust-kamchatsk,,,,,,,
estreito,-5.7833,-43.25,100.36,23.0,11.0,3.67,BR
hobart,-42.8794,147.3294,50.25,78.0,90.0,3.0,AU
beatrice,40.2681,-96.747,82.0,61.0,40.0,6.91,US
saldanha,-33.0117,17.9442,55.87,82.0,96.0,24.58,ZA
ilfracombe,51.2093,-4.1134,84.52,74.0,0.0,4.74,GB
tateyama,34.9833,139.8667,81.01,85.0,0.0,7.09,JP
san patricio,28.017,-97.5169,92.88,52.0,21.0,1.9,US
grants,35.1473,-107.8514,79.03,41.0,1.0,12.66,US
hailey,43.5196,-114.3153,73.26,38.0,90.0,6.91,US
cherskiy,68.75,161.3,46.87,67.0,9.0,6.2,RU
puerto narino,-3.7703,-70.3831,86.54,56.0,42.0,5.75,CO
puerto baquerizo moreno,-0.9,-89.6,71.96,86.0,100.0,11.74,EC
iqaluit,63.7506,-68.5145,38.3,82.0,97.0,7.67,CA
andevoranto,,,,,,,
saleaula,,,,,,,
nyurba,63.2842,118.3319,57.47,93.0,98.0,5.44,RU
blakstad,59.8191,10.4645,73.72,14.0,89.0,12.06,NO
college,64.8569,-147.8028,62.91,70.0,33.0,3.0,US
takanabe,32.1333,131.5,75.2,94.0,100.0,7.05,JP
leshukonskoye,64.8989,45.7622,60.67,60.0,99.0,3.09,RU
miramar,25.9873,-80.2323,92.01,69.0,20.0,11.5,US
neuquen,-38.9516,-68.0591,57.49,20.0,98.0,10.07,AR
copandaro,,,,,,,
kavieng,-2.5744,150.7967,79.77,80.0,100.0,3.2,PG
elblag,54.1522,19.4088,70.97,66.0,33.0,8.77,PL
staffanstorp,55.6428,13.2064,73.09,56.0,0.0,5.99,SE
new norfolk,-42.7826,147.0587,49.91,79.0,97.0,7.0,AU
gravdal,68.1214,13.5031,48.09,81.0,75.0,16.11,NO
bud,39.447,-86.1758,82.49,58.0,0.0,7.56,US
torbay,47.6666,-52.7314,74.75,69.0,83.0,1.99,CA
constitucion,-35.3333,-72.4167,59.88,39.0,26.0,7.2,CL
isla mujeres,21.2311,-86.731,85.12,67.0,11.0,8.55,MX
santiago del estero,-27.7951,-64.2615,60.8,19.0,95.0,11.05,AR
samoded,63.6083,40.5111,59.74,66.0,62.0,3.98,RU
motatei,44.0833,23.2,85.62,86.0,81.0,12.06,RO
namibe,-15.1961,12.1522,66.7,88.0,23.0,8.63,AO
provideniya,64.3833,-173.3,48.6,97.0,100.0,5.64,RU
bambous virieux,-20.3428,57.7575,70.21,76.0,47.0,21.72,MU
kalmunai,7.4167,81.8167,83.12,71.0,98.0,2.21,LK
birao,10.2849,22.7882,75.7,83.0,99.0,5.44,CF
minas novas,-17.2186,-42.5903,93.58,21.0,0.0,1.34,BR
puerto colombia,10.9878,-74.9547,83.55,73.0,75.0,18.37,CO
provost,52.3501,-110.2683,73.42,48.0,1.0,10.04,CA
port elizabeth,-33.918,25.5701,60.1,76.0,7.0,15.55,ZA
ixtapa,20.7,-105.2,88.83,62.0,20.0,0.0,MX
alakurtti,66.9672,30.3491,54.63,57.0,94.0,9.22,RU
conde,-7.2597,-34.9075,79.92,71.0,43.0,15.35,BR
pokaran,26.9167,71.9167,88.48,63.0,100.0,22.37,IN
comodoro rivadavia,-45.8667,-67.5,53.49,56.0,100.0,8.9,AR
sitka,57.0531,-135.33,58.89,77.0,20.0,4.61,US
isangel,-19.55,169.2667,73.15,89.0,30.0,7.31,VU
aksu,41.1231,80.2644,73.42,53.0,84.0,6.71,CN
